"C4R4MNOR"	"C4R4MSCL"	"C4R4MTSC"	"C4R4MTHT"	"C4R4MSET"	"C5R4MNR3"	"C5R4MSCL"	"C5R4MTSC"	"C5R4MTHT"	"C5R4MSET"	"P5MOMCOB"	"P5DADCOB"	"P4MOMCOB"	"P4DADCOB"	"P5MAGEUS"	"P5DAGEUS"	"P4MAGEUS"	"P4DAGEUS"	"P2CHPLAC"	"C1SCTOT"	"W1RACETH"	"P4HISPBD"	"P4ASIABD"	"P4HISPBD.1"	"P5MOMCOB.1"	"P4MOMCOB.1"	"R2_KAGE"	"GENDER"	"P1HFAMIL"	"P2HFAMIL"	"P1HPARNT"	"P2HPARNT"	"P1NUMSIB"	"P2NUMSIB"	"P2INCOME"	"P1HIG_2"	"S2CHCARE"	"U2REPEAT"	"F2CLASS"	"A2ATTOPN"	"P2ATTENP"	"P2PARGRP"	"T2INFMTS"	"C7SPORTS"	"C7ARTS"	"P2NOENGL"	"P4LIBRAR"	"P2MUSEUM"	"P2CONCRT"	"P3ARTSCI"	"P5ZOO"	"P5SPTEVT"	"S2KPUPRI"	"S2KPUPRI.1"	"BYCW0"	"BYPW0"	"BYCPTW0"	"BYCOMW0"	"P1PRIMPK"	"W3RACETH"	"RACE"
"11518"	NA	NA	NA	NA	NA	12	102.38	52.109	1.379	0.137	-1	1	NA	NA	-1	-1	NA	NA	1	NA	NA	NA	NA	NA	-1	NA	80.93	1	NA	3	NA	5	NA	1	28000	NA	1	-2	3	4	2	1	1	1	4	2	NA	2	1	NA	1	2	1	1	0	0	0	0	NA	1	1
"11519"	11	53.66	48.195	0.35	0.143	8	82.33	45.083	1.041	0.12	1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	79.67	1	NA	2	NA	1	NA	0	75000	NA	1	-2	3	4	2	2	1	NA	NA	2	2	2	2	NA	1	1	1	1	0	0	0	0	NA	1	1
"11522"	13	66.53	54.829	0.721	0.142	8	89.37	47.614	1.169	0.116	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	77.9	1	NA	1	NA	1	NA	1	59000	NA	1	-2	3	4	1	2	1	NA	NA	2	NA	1	1	NA	NA	NA	1	1	0	0	0	0	NA	NA	1
"11524"	13	58.58	50.975	0.511	0.142	9	105.38	53.16	1.447	0.116	1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	72.73	2	NA	1	NA	1	NA	1	1e+05	NA	1	-2	3	5	1	2	1	NA	NA	2	2	2	1	NA	2	2	1	1	0	0	0	0	NA	1	1
"11526"	13	65.32	54.286	0.688	0.142	13	116.34	57.156	1.587	0.136	1	-1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	69.1	2	NA	3	NA	4	NA	1	13000	NA	1	-2	3	5	2	2	1	1	3	2	2	2	2	NA	2	1	1	1	0	0	0	0	NA	1	1
"11528"	13	65.91	54.551	0.704	0.142	11	109.94	54.786	1.515	0.118	1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	72.53	1	NA	1	NA	2	NA	2	35000	NA	1	-2	3	5	1	2	1	NA	NA	2	2	2	2	NA	1	2	1	1	0	0	0	0	NA	1	1
"11529"	14	75.94	58.596	0.911	0.146	5	76.82	42.961	0.954	0.13	1	-1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	90.3	1	NA	4	NA	4	NA	0	-8	NA	1	-2	3	5	2	1	2	NA	NA	2	2	2	2	NA	1	2	1	1	0	0	0	0	NA	1	1
"11531"	13	63.95	53.656	0.645	0.142	10	106.47	53.544	1.473	0.125	1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	79.43	2	NA	1	NA	1	NA	1	24000	NA	1	-2	3	2	1	2	1	3	1	2	1	2	1	NA	2	2	1	1	0	0	0	0	NA	1	1
"11532"	10	54.86	48.905	0.391	0.143	10	105.63	53.246	1.459	0.116	1	1	-9	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	-9	75.07	1	NA	2	NA	1	NA	0	-8	NA	1	-2	3	2	2	1	1	1	4	2	2	2	2	NA	2	2	1	1	0	0	0	0	NA	1	1
"11533"	13	63.35	53.373	0.627	0.142	10	103.87	52.628	1.405	0.117	1	-1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	78.6	1	NA	3	NA	4	NA	2	-8	NA	1	-2	3	2	2	2	1	1	1	2	2	2	2	NA	1	2	1	1	0	0	0	0	NA	1	1
"11534"	5	31.01	30.167	-0.586	0.203	2	65.26	37.81	0.692	0.14	1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	75.6	1	NA	2	NA	1	NA	0	40000	NA	1	-2	3	2	2	1	1	1	2	2	2	1	2	NA	1	2	1	1	0	0	0	0	NA	1	1
"11536"	9	47.5	44.189	0.138	0.17	4	73.9	41.768	0.864	0.132	1	-1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	70.7	2	NA	4	NA	4	NA	0	43000	NA	1	-2	3	3	1	2	1	NA	NA	2	2	2	1	NA	2	1	1	1	0	0	0	0	NA	1	1
"11537"	12	59.96	51.699	0.545	0.142	11	106.61	53.592	1.477	0.116	1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	71.33	2	NA	1	NA	1	NA	1	41000	NA	1	-2	3	3	2	2	1	NA	NA	2	2	2	2	NA	2	1	1	1	0	0	0	0	NA	1	1
"11538"	11	47.36	44.088	0.135	0.147	5	76.14	42.689	0.933	0.13	1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	78.07	1	NA	1	NA	1	NA	1	11000	NA	1	-2	3	3	2	2	1	1	1	2	2	2	2	NA	2	1	1	1	0	0	0	0	NA	1	1
"11539"	10	52.65	47.579	0.319	0.144	11	106.56	53.577	1.476	0.116	1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	69.33	1	NA	2	NA	1	NA	0	15000	NA	1	-2	3	5	2	1	1	NA	NA	2	2	2	2	NA	2	2	1	1	0	0	0	0	NA	1	1
"11541"	9	41	39.231	-0.136	0.166	4	74.6	42.058	0.881	0.131	1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	68.23	1	NA	1	NA	1	NA	1	25000	NA	1	-2	3	5	2	2	1	2	1	2	2	2	2	NA	1	1	1	1	0	0	0	0	NA	1	1
"11542"	12	51.31	46.744	0.281	0.144	13	113.67	56.154	1.552	0.136	1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	74.6	1	NA	1	NA	1	NA	1	49000	NA	1	-2	3	5	2	2	1	1	3	2	2	2	2	NA	2	2	1	1	0	0	0	0	NA	1	1
"11543"	15	86.87	62.323	1.107	0.156	14	115.61	56.879	1.59	0.136	1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	77.67	1	NA	1	NA	1	NA	1	-8	NA	1	-2	3	5	2	2	1	3	2	2	2	2	1	NA	2	1	1	1	0	0	0	0	NA	1	1
"11544"	12	54.83	48.885	0.39	0.143	3	76.81	42.959	0.95	0.13	1	1	-9	-1	-1	-1	-1	-1	1	NA	-9	-1	-1	-1	1	-9	69.83	2	NA	5	NA	8	NA	0	30000	NA	1	-2	3	5	2	1	1	NA	NA	2	2	2	2	NA	1	1	1	1	0	0	0	0	NA	1	1
"11545"	12	56.03	49.579	0.434	0.142	9	107.04	53.745	1.462	0.126	1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	68.57	2	NA	1	NA	1	NA	1	47000	NA	1	-2	3	3	2	1	1	NA	NA	2	2	2	1	NA	2	2	1	1	0	0	0	0	NA	1	1
"11546"	7	41.65	39.756	-0.093	0.166	2	64.16	37.252	0.659	0.142	1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	90.9	1	NA	1	NA	1	NA	2	32000	NA	1	-2	3	3	2	1	2	1	2	2	2	2	1	NA	1	2	1	1	0	0	0	0	NA	1	1
"11547"	13	57.35	50.315	0.476	0.142	2	71.95	40.936	0.818	0.133	-1	1	-9	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	-1	-9	74.9	1	NA	3	NA	7	NA	2	12000	NA	1	-2	3	3	2	1	2	1	1	2	2	1	2	NA	2	2	1	1	0	0	0	0	NA	1	1
"11548"	12	56.97	50.103	0.465	0.142	6	88.11	47.169	1.136	0.127	1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	74	1	NA	1	NA	2	NA	3	22000	NA	1	-2	3	3	2	2	1	1	2	2	2	2	1	NA	1	1	1	1	0	0	0	0	NA	1	1
"11549"	12	57.66	50.481	0.486	0.142	8	91.93	48.504	1.224	0.122	1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	72.83	1	NA	1	NA	1	NA	2	12000	NA	1	-2	3	2	2	1	1	1	1	2	2	2	2	NA	1	1	1	1	0	0	0	0	NA	1	1
"11550"	15	80.63	60.256	1.007	0.15	12	104.12	52.717	1.448	0.125	1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	72.43	1	NA	3	NA	4	NA	1	0	NA	1	-2	3	2	2	2	3	1	4	2	2	2	2	NA	2	2	1	1	0	0	0	0	NA	1	1
"11551"	12	52.11	47.245	0.304	0.144	4	75.88	42.585	0.916	0.131	1	-1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	69.2	2	NA	1	NA	1	NA	1	27000	NA	1	-2	3	2	1	1	1	1	1	2	2	2	2	NA	1	2	1	1	0	0	0	0	NA	1	1
"11552"	11	52.49	47.48	0.315	0.144	3	70.98	40.506	0.805	0.134	NA	NA	1	-1	NA	NA	-1	-1	1	NA	1	-1	-1	-1	NA	1	74.63	2	NA	1	NA	1	NA	2	18000	NA	1	-2	3	2	2	2	3	1	2	2	2	2	2	NA	NA	NA	1	1	0	0	0	0	NA	NA	1
"11554"	15	87	62.362	1.11	0.156	14	130.85	62.959	1.903	0.141	1	111	1	-1	-1	23	-1	-1	1	-1	7	-1	-1	-1	1	1	72.73	2	1	1	1	1	1	1	90000	22	2	-2	1	4	2	1	-9	1	4	2	2	1	2	NA	2	1	1	1	67.02284	82.51194	94.2372	71.36175	6	7	7
"11555"	15	83.83	61.33	1.059	0.153	14	138.08	66.096	2.05	0.148	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1	NA	NA	NA	NA	NA	NA	74.57	1	2	NA	9	NA	0	NA	NA	22	2	-2	3	3	NA	NA	1	1	2	NA	NA	NA	NA	NA	NA	NA	1	1	236.17572	0	0	251.46523	6	NA	1
"11558"	14	72.42	57.269	0.832	0.144	15	139.15	66.577	2.071	0.149	158	-1	158	-1	32	-1	32	-1	1	-1	4	1	-1	1	158	158	79.6	2	1	1	1	1	3	3	-8	21	2	-2	3	5	2	1	-9	NA	NA	2	1	2	2	NA	1	2	1	1	236.17572	242.76448	287.06033	251.46523	5	4	4
"11560"	14	80.28	60.136	1.001	0.15	12	126.62	61.204	1.817	0.139	1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	83.47	1	NA	1	NA	1	NA	1	-7	NA	2	-2	3	5	2	1	-9	NA	NA	1	2	1	1	NA	2	2	1	1	0	0	0	0	NA	1	1
"11565"	13	69.27	56.002	0.777	0.143	14	130.24	62.702	1.84	0.141	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	74.9	1	1	1	1	1	1	1	150000	22	2	-2	3	5	2	1	-9	2	4	2	1	1	1	NA	2	2	1	1	236.17572	251.17738	246.97558	251.46523	0	1	1
"11566"	15	93.35	64.37	1.224	0.164	15	121.29	59.07	1.688	0.137	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	77.23	1	1	1	1	1	2	2	90000	17	2	-2	1	4	2	1	-9	3	4	2	2	2	2	NA	2	2	1	1	236.17572	251.17738	246.97558	251.46523	6	1	1
"11569"	13	55.26	49.138	0.406	0.143	3	67.24	38.784	0.739	0.138	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	73.47	2	2	2	1	1	0	0	65000	13	2	-2	3	3	1	1	1	NA	NA	2	1	1	1	NA	2	1	1	1	236.17572	251.17738	246.97558	251.46523	1	1	1
"11570"	9	50.35	46.121	0.223	0.172	14	119.97	58.553	1.663	0.137	-1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	1	71.53	2	1	3	1	4	2	2	30000	18	2	-2	3	5	2	1	-9	3	4	2	2	2	2	NA	1	2	1	1	236.17572	251.17738	246.97558	251.46523	6	1	1
"11571"	15	97.18	65.561	1.288	0.17	16	147.9	70.749	2.258	0.163	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	74.87	2	1	1	1	1	1	1	55000	20	2	-2	3	5	1	1	3	2	3	1	1	1	2	NA	2	2	1	1	236.17572	251.17738	0	0	6	1	1
"11572"	14	78.22	59.416	0.962	0.148	16	126.51	61.158	1.762	0.139	120	1	120	-1	6	-1	6	-1	1	-1	8	-1	-1	-1	120	120	76.17	2	1	1	1	1	1	1	-8	18	2	-2	3	5	2	1	3	1	4	2	1	2	2	NA	2	2	1	1	236.17572	251.17738	0	0	7	8	8
"11573"	14	77.97	59.329	0.957	0.148	14	119.27	58.281	1.664	0.137	1	-1	1	-1	-1	-1	-1	-1	1	-1	2	-1	-1	-1	1	1	73.33	1	3	3	4	4	1	1	-8	-1	2	-2	3	5	1	1	1	2	2	2	1	2	2	NA	2	1	1	1	236.17572	272.44271	0	0	5	2	2
"11574"	16	109.54	69.474	1.494	0.193	16	147.8	70.701	2.275	0.163	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	78.83	1	1	1	1	1	2	2	65	19	2	-2	1	4	2	1	-9	1	3	2	2	2	1	NA	1	1	1	1	236.17572	251.17738	246.97558	251.46523	7	1	1
"11575"	11	56.69	49.947	0.457	0.142	10	103.36	52.453	1.384	0.124	1	1	-9	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	-9	70.43	1	NA	1	NA	1	NA	2	24000	NA	2	-2	3	5	1	1	2	2	1	2	2	2	2	2	2	1	1	1	0	0	0	0	NA	1	1
"11577"	14	65.92	54.558	0.707	0.142	8	89.32	47.594	1.178	0.116	1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	76.7	2	NA	1	NA	1	NA	1	-8	NA	2	-2	3	5	2	1	1	2	2	2	2	2	2	1	2	1	1	1	0	0	0	0	NA	1	1
"11578"	12	50.67	46.33	0.261	0.145	0	60.35	35.197	0.555	0.148	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	68.9	1	NA	NA	NA	NA	NA	NA	NA	NA	2	-2	3	5	NA	NA	2	2	1	NA	NA	NA	NA	2	NA	NA	1	1	0	0	0	0	NA	NA	1
"11579"	NA	NA	NA	NA	NA	6	81.07	44.61	1.015	0.128	1	1	NA	NA	-1	-1	NA	NA	1	NA	1	NA	NA	NA	1	NA	76.2	2	NA	2	NA	1	NA	0	-8	NA	2	-2	3	5	1	1	1	2	1	2	NA	2	2	2	2	2	1	1	0	0	0	0	NA	1	1
"11580"	12	56.89	50.06	0.463	0.142	13	110.81	55.101	1.527	0.136	1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	79.43	2	NA	1	NA	1	NA	2	28000	NA	2	-2	3	5	1	1	2	1	4	2	1	1	1	1	2	1	1	1	0	0	0	0	NA	1	1
"11581"	11	52.56	47.526	0.317	0.144	5	77.22	43.121	0.96	0.13	NA	NA	1	-1	NA	NA	-1	-1	1	NA	1	-1	-1	-1	NA	1	79.43	1	NA	2	NA	1	NA	0	50000	NA	2	-2	3	5	2	1	1	2	1	2	2	1	1	1	NA	NA	1	1	0	0	0	0	NA	NA	1
"11582"	2	23.41	20.987	-1.092	0.206	5	72.24	41.061	0.82	0.133	1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	71.63	1	NA	3	NA	5	NA	1	-8	NA	2	-2	3	5	2	1	1	2	4	2	2	1	2	2	2	1	1	1	0	0	0	0	NA	1	1
"11584"	15	73.13	57.542	0.847	0.145	7	88.88	47.441	1.156	0.117	1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	77.93	1	NA	1	NA	1	NA	1	15000	NA	2	-2	3	5	2	2	2	NA	NA	2	2	2	2	2	2	2	1	1	0	0	0	0	NA	1	1
"11586"	12	48.7	45.019	0.192	0.146	3	68.15	39.214	0.76	0.137	1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	67.77	2	NA	4	NA	4	NA	0	12000	NA	2	-2	3	2	1	1	1	NA	NA	2	2	2	2	2	2	2	1	1	0	0	0	0	NA	1	1
"11587"	9	47.01	43.84	0.12	0.17	8	80.02	44.21	1.01	0.121	1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	72.57	2	NA	2	NA	1	NA	0	50000	NA	2	-2	3	2	2	2	1	2	3	2	2	2	2	2	2	2	1	1	0	0	0	0	NA	1	1
"11588"	11	48.42	44.831	0.18	0.146	7	94	49.219	1.264	0.122	1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	71.53	1	NA	1	NA	3	NA	1	30000	NA	2	-2	3	2	2	1	1	1	2	2	2	2	2	2	1	2	1	1	0	0	0	0	NA	1	1
"11589"	12	54.01	48.402	0.362	0.143	13	114.47	56.454	1.564	0.136	1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	69.37	1	NA	1	NA	1	NA	2	35000	NA	2	-2	3	2	1	1	1	2	1	2	2	2	2	2	1	2	1	1	0	0	0	0	NA	1	1
"11590"	10	52.21	47.305	0.306	0.144	5	86.13	46.467	1.084	0.127	1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	84.93	1	NA	1	NA	1	NA	2	57000	NA	2	-2	3	2	1	1	1	2	4	2	1	2	2	2	1	1	1	1	0	0	0	0	NA	1	1
"11591"	6	36.64	35.509	-0.339	0.208	7	88.44	47.286	1.126	0.116	NA	NA	1	-1	NA	NA	-1	-1	1	NA	1	-1	-1	-1	NA	1	81.27	1	NA	1	NA	1	NA	1	21000	NA	2	-2	3	2	2	1	1	NA	NA	2	1	2	2	2	NA	NA	1	1	0	0	0	0	NA	NA	1
"11592"	6	29.06	28.095	-0.716	0.203	4	65.04	37.703	0.688	0.141	1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	76.3	1	NA	2	NA	6	NA	0	15000	NA	2	-2	3	2	1	1	1	NA	NA	2	2	2	2	2	1	2	1	1	0	0	0	0	NA	1	1
"11595"	12	58.29	50.821	0.503	0.142	5	87.3	46.884	1.104	0.127	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	80.2	1	NA	1	NA	2	NA	2	7200	NA	2	-2	3	2	2	1	2	NA	NA	2	NA	2	1	1	NA	NA	1	1	0	0	0	0	NA	NA	1
"11596"	11	49.7	45.695	0.229	0.145	11	98.73	50.847	1.312	0.114	1	1	-9	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	-9	67.6	1	NA	1	NA	9	NA	3	60000	NA	2	-2	3	2	1	1	1	NA	NA	2	2	2	2	2	2	2	1	1	0	0	0	0	NA	1	1
"11598"	12	55.42	49.227	0.411	0.142	5	84.75	45.968	1.057	0.127	-1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	-1	1	82.2	1	NA	3	NA	5	NA	1	15000	NA	2	-2	3	2	2	1	1	2	1	2	2	2	2	2	2	2	1	1	0	0	0	0	NA	1	1
"11599"	6	32.1	31.266	-0.554	0.204	2	64.6	37.479	0.686	0.142	1	1	1	-1	-1	-1	-1	-1	1	NA	1	-1	-1	-1	1	1	71.63	1	NA	3	NA	5	NA	1	-8	NA	2	-2	3	2	2	1	1	2	1	2	2	1	2	2	2	1	1	1	0	0	0	0	NA	1	1
"11602"	15	101.48	66.901	1.356	0.177	12	124.01	60.148	1.737	0.138	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	77.97	2	NA	4	NA	5	NA	0	30000	NA	1	-2	1	3	2	2	2	2	2	2	2	2	1	NA	1	1	1	1	252.4777	0	0	268.82256	NA	1	1
"11603"	8	41.93	39.983	-0.082	0.166	9	102.63	52.198	1.367	0.124	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	78.03	1	1	1	1	1	3	3	23000	11	1	-2	1	3	2	1	1	1	4	2	2	2	1	NA	2	2	1	1	252.4777	268.51484	282.74383	268.82256	5	1	1
"11609"	9	34.46	33.524	-0.44	0.166	1	61.8	36.003	0.593	0.146	NA	NA	1	-1	NA	NA	-1	-1	1	-1	1	1	-1	1	NA	1	83.03	1	1	1	1	1	1	1	-8	13	1	NA	1	3	1	1	1	1	4	2	1	2	2	NA	NA	NA	1	1	252.4777	259.52125	331.1794	268.82256	7	NA	1
"11610"	14	67.5	55.25	0.742	0.142	8	99.87	51.242	1.315	0.114	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	72.77	1	2	2	1	1	0	0	35000	10	1	-2	1	3	2	1	1	3	4	2	1	2	1	NA	2	1	1	1	252.4777	268.51484	282.74383	268.82256	7	1	1
"11611"	16	84.71	61.622	1.072	0.154	11	122.61	59.589	1.729	0.138	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	74.5	2	1	1	1	1	1	1	31000	16	1	-2	1	3	2	2	1	2	4	2	2	2	2	NA	2	2	1	1	252.4777	268.51484	282.74383	268.82256	7	1	1
"11614"	12	50.64	46.307	0.259	0.145	14	134.43	64.486	1.99	0.144	90	1	90	-1	23	-1	23	-1	1	-1	1	-1	-1	-1	90	90	78.03	1	1	1	1	1	1	1	-8	13	1	-2	1	3	2	2	3	2	3	2	2	2	1	NA	2	2	1	1	252.4777	268.51484	282.74383	268.82256	4	1	1
"11615"	NA	NA	NA	NA	NA	11	112.74	55.808	1.559	0.133	1	1	NA	NA	-1	-1	NA	NA	1	-1	NA	NA	NA	NA	1	NA	72.27	1	3	5	9	8	1	1	751	6	1	NA	3	2	2	2	1	NA	NA	2	NA	2	2	NA	1	2	1	1	872.0066	422.00708	282.74383	900	5	1	1
"11618"	8	39.02	37.576	-0.199	0.165	5	76.01	42.638	0.929	0.13	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	72.87	1	1	1	1	1	2	2	35000	16	1	-2	1	2	2	1	1	1	4	2	1	2	1	NA	2	2	1	1	252.4777	268.51484	282.74383	268.82256	0	1	1
"11619"	12	57.49	50.391	0.482	0.142	4	79.4	43.974	0.999	0.129	NA	NA	1	-1	NA	NA	-1	-1	1	-1	7	-1	-1	-1	NA	1	75.43	2	3	1	4	2	2	4	-8	-1	1	-2	1	2	2	2	2	NA	NA	2	2	1	2	NA	NA	NA	1	1	252.4777	268.51484	282.74383	268.82256	7	NA	7
"11620"	6	39.83	38.261	-0.172	0.212	1	59.77	34.866	0.541	0.149	1	195	1	-1	-1	-1	-1	-1	1	-1	3	2	-1	2	1	1	82.93	2	3	5	5	8	1	1	23000	-1	1	-2	1	2	2	1	1	NA	NA	2	2	2	1	NA	1	2	1	1	252.4777	268.51484	282.74383	268.82256	5	3	3
"11621"	16	104.38	67.817	1.406	0.182	14	129.91	62.565	1.885	0.141	1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	75.33	1	1	3	1	4	5	4	19000	13	1	-2	1	2	2	2	3	2	4	2	2	2	2	NA	2	1	1	1	252.4777	268.51484	282.74383	268.82256	6	1	1
"11622"	10	48.09	44.598	0.166	0.147	2	58.83	34.327	0.516	0.151	1	1	-9	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	-9	82.23	1	1	1	2	3	1	2	57000	10	1	NA	1	2	2	2	1	2	4	2	2	2	1	NA	1	2	1	1	252.4777	268.51484	282.74383	268.82256	6	1	1
"11624"	11	51.91	47.121	0.297	0.144	8	84.62	45.92	1.055	0.123	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	78	1	1	1	1	1	3	3	23000	11	1	-2	1	2	2	1	1	1	4	2	2	2	1	NA	2	2	1	1	252.4777	268.51484	282.74383	268.82256	5	1	1
"11629"	NA	NA	NA	NA	NA	9	89	47.484	1.168	0.117	1	1	NA	NA	-1	-1	NA	NA	1	-1	NA	NA	NA	NA	1	NA	75.6	2	3	3	4	4	1	1	30000	-1	2	-2	3	3	1	1	1	1	1	2	NA	1	1	NA	1	1	1	1	457.58612	501.37201	527.94044	474.87012	1	1	1
"11630"	2	20.55	16.623	-1.336	0.209	1	57.22	33.365	0.471	0.154	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	75.8	1	2	2	6	6	0	0	17000	13	2	-2	3	3	2	1	1	1	1	2	2	2	2	NA	1	2	1	1	466.04985	501.37201	527.94044	473.76543	5	1	1
"11632"	11	59.61	51.515	0.535	0.142	11	103.94	52.654	1.395	0.124	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	69.83	1	1	1	2	2	1	1	25600	11	2	-2	3	4	1	2	1	NA	NA	2	2	2	2	NA	1	1	1	1	466.04985	517.16192	527.94044	473.76543	0	1	1
"11633"	13	64.91	54.1	0.676	0.142	12	107.64	53.959	1.492	0.126	NA	NA	1	-1	NA	NA	-1	-1	1	-1	1	-1	-1	-1	NA	1	70.93	1	1	1	1	1	1	1	30000	13	2	-2	3	4	1	1	1	NA	NA	2	1	2	2	NA	NA	NA	1	1	466.04985	501.37201	527.94044	473.76543	0	NA	1
"11635"	11	51.04	46.567	0.272	0.145	4	74.31	41.941	0.881	0.131	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	79.97	2	1	1	1	2	1	1	42000	9	2	-2	3	4	1	2	1	1	2	1	1	1	2	NA	1	2	1	1	457.58612	501.37201	527.94044	474.87012	0	1	1
"11637"	14	66.46	54.797	0.718	0.142	9	88.79	47.408	1.157	0.116	NA	NA	1	-1	NA	NA	-1	-1	NA	-1	1	-1	-1	-1	NA	1	75.23	2	4	NA	5	NA	0	NA	NA	-1	2	-2	3	2	NA	NA	2	2	2	NA	2	NA	NA	NA	NA	NA	1	1	457.58612	0	0	474.87012	8	NA	1
"11639"	13	66.66	54.886	0.724	0.142	14	112.54	55.734	1.533	0.136	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	69.4	2	1	1	1	1	1	1	70000	19	2	-2	3	2	1	2	1	2	3	2	1	2	1	NA	1	1	1	1	457.58612	517.16192	527.94044	474.87012	7	1	1
"11640"	11	54.67	48.793	0.384	0.143	10	117.87	57.742	1.641	0.13	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	70.17	1	1	1	1	1	3	4	27000	8	2	-2	3	2	1	1	2	NA	NA	2	2	1	2	NA	2	1	1	1	466.04985	517.16192	527.94044	473.76543	0	1	1
"11642"	5	33.26	32.397	-0.496	0.204	0	43.61	23.492	-0.006	0.198	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	72.23	2	1	1	1	1	7	7	26000	12	2	-2	3	2	2	2	2	2	1	2	2	2	2	NA	2	1	1	1	457.58612	501.37201	527.94044	474.87012	5	1	1
