"C4R4MNOR"	"C4R4MSCL"	"C4R4MTSC"	"C4R4MTHT"	"C4R4MSET"	"C5R4MNR3"	"C5R4MSCL"	"C5R4MTSC"	"C5R4MTHT"	"C5R4MSET"	"P5MOMCOB"	"P5DADCOB"	"P4MOMCOB"	"P4DADCOB"	"P5MAGEUS"	"P5DAGEUS"	"P4MAGEUS"	"P4DAGEUS"	"P2CHPLAC"	"C1SCTOT"	"W1RACETH"	"P4HISPBD"	"P4ASIABD"	"P4HISPBD.1"	"P5MOMCOB.1"	"P4MOMCOB.1"	"R2_KAGE"	"GENDER"	"P1HFAMIL"	"P2HFAMIL"	"P1HPARNT"	"P2HPARNT"	"P1NUMSIB"	"P2NUMSIB"	"P2INCOME"	"P1HIG_2"	"S2CHCARE"	"U2REPEAT"	"F2CLASS"	"A2ATTOPN"	"P2ATTENP"	"P2PARGRP"	"T2INFMTS"	"C7SPORTS"	"C7ARTS"	"P2NOENGL"	"P4LIBRAR"	"P2MUSEUM"	"P2CONCRT"	"P3ARTSCI"	"P5ZOO"	"P5SPTEVT"	"S2KPUPRI"	"S2KPUPRI.1"	"BYCW0"	"BYPW0"	"BYCPTW0"	"BYCOMW0"	"P1PRIMPK"	"W3RACETH"	"RACE"
"48"	10	39.1	37.638	-0.206	0.159	4	75.97	42.62	0.933	0.13	NA	NA	NA	NA	NA	NA	NA	NA	1	-1	NA	NA	NA	NA	NA	NA	75.57	2	1	1	2	2	3	3	-8	-8	1	-2	2	4	2	1	1	NA	NA	1	NA	2	2	NA	NA	NA	1	1	167.2746	216.7948	204.61835	173.66525	1	NA	8
"50"	11	43.94	41.568	0.004	0.151	4	80.73	44.482	1.011	0.133	1	1	NA	NA	-1	-1	NA	NA	1	-1	NA	NA	NA	NA	1	NA	82.17	1	1	1	1	1	4	4	15000	9	1	-2	1	3	2	1	1	NA	NA	2	NA	2	2	NA	1	1	1	1	167.2746	216.7948	204.61835	173.66525	0	8	8
"53"	9	45.7	42.895	0.069	0.169	5	73.11	41.432	0.836	0.132	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	69.13	2	3	3	4	4	1	1	-8	-1	1	-2	1	3	2	1	1	1	3	2	1	1	1	NA	1	1	1	1	167.2746	216.7948	204.61835	173.66525	1	1	1
"57"	4	27.61	26.444	-0.802	0.203	0	50.81	29.135	0.267	0.171	1	-1	NA	NA	-1	-1	NA	NA	1	-1	NA	NA	NA	NA	1	NA	69.83	2	3	3	4	4	4	4	4000	-1	1	-2	2	3	2	1	1	NA	NA	2	NA	2	1	NA	2	2	1	1	167.2746	216.7948	204.61835	173.66525	5	7	7
"58"	2	18.69	13.475	-1.491	0.212	0	40.29	20.533	-0.147	0.215	1	-1	1	-1	-1	-1	-1	-1	1	-1	2	-1	-1	-1	1	1	74.67	1	3	3	4	4	3	3	11000	-1	1	-2	2	3	1	1	1	NA	NA	2	1	2	2	NA	1	2	1	1	167.2746	219.89189	214.50522	173.66525	0	2	2
"62"	8	36.5	35.382	-0.371	0.165	6	87.86	47.08	1.124	0.127	NA	NA	NA	NA	NA	NA	NA	NA	1	-1	NA	NA	NA	NA	NA	NA	75.6	2	1	1	2	2	3	3	-8	-8	1	-2	2	3	2	1	1	NA	NA	1	NA	2	2	NA	NA	NA	1	1	167.2746	216.7948	204.61835	173.66525	1	NA	8
"63"	11	56.87	50.046	0.462	0.142	11	113.87	56.228	1.57	0.121	50	50	NA	NA	28	22	NA	NA	1	41	NA	NA	NA	NA	50	NA	72.87	2	1	1	1	1	2	2	13000	13	2	-2	2	4	2	2	1	1	4	2	NA	2	2	NA	2	2	1	1	124.15882	147.1553	168.06662	132.46777	6	5	5
"64"	6	35.68	34.646	-0.359	0.207	4	72.81	41.305	0.843	0.133	50	50	NA	NA	30	-8	NA	NA	NA	31	NA	NA	NA	NA	50	NA	75.5	1	1	NA	1	NA	1	NA	NA	8	2	-2	2	4	NA	NA	3	1	1	NA	NA	NA	NA	NA	2	2	1	1	100.32492	0	0	132.46777	7	5	5
"65"	15	92.61	64.14	1.211	0.163	11	107.95	54.071	1.483	0.126	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	69.97	1	1	1	1	1	1	1	85000	18	2	-2	1	5	2	1	1	1	4	2	2	1	1	NA	1	1	1	1	234.51769	265.72667	286.87334	243.47733	6	1	1
"67"	15	94.66	64.779	1.246	0.166	16	146.69	70.141	2.235	0.161	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	78.4	1	1	1	1	1	2	2	55000	17	2	-2	1	5	1	1	1	NA	NA	2	2	2	1	NA	1	1	1	1	234.51769	265.72667	286.87334	243.47733	8	1	1
"69"	10	52.86	47.712	0.328	0.174	13	117.99	57.787	1.634	0.136	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	74.33	1	3	3	4	4	2	2	-8	-1	2	-2	2	5	2	1	1	1	1	2	2	2	2	NA	2	1	1	1	234.51769	265.72667	286.87334	243.47733	0	1	1
"72"	12	55.85	49.476	0.428	0.142	10	91.48	48.349	1.22	0.115	-1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	1	72.3	2	4	4	5	5	0	0	12000	-1	2	-2	1	4	2	2	1	1	2	2	2	2	2	NA	2	2	1	1	234.51769	246.88722	286.87334	243.47733	5	1	1
"73"	9	50.71	46.355	0.256	0.173	11	88.69	47.375	1.137	0.116	1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	68.33	1	1	1	1	1	1	1	40000	12	2	-2	1	4	2	1	1	2	4	2	2	2	2	NA	2	1	1	1	234.51769	265.72667	286.87334	243.47733	6	1	1
"74"	10	44.38	41.901	0.02	0.168	6	92.47	48.693	1.222	0.127	1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	72.57	2	1	1	1	1	1	1	32000	13	2	-2	1	4	2	2	1	1	4	2	1	2	2	NA	2	1	1	1	234.51769	246.88722	286.87334	243.47733	5	1	1
"76"	5	32.66	31.82	-0.502	0.204	2	55.2	32.103	0.411	0.159	-1	1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	1	78.9	2	3	3	5	5	2	2	-8	-1	2	-2	2	4	2	2	2	NA	NA	2	2	2	2	NA	1	2	1	1	234.51769	246.88722	286.87334	243.47733	5	1	1
